Trace1,,,,
Freq,,Amp,,
            53517125,Hz,              -97.38, dBm,
            53522131,Hz,              -96.56, dBm,
            53527137,Hz,              -99.59, dBm,
            53532143,Hz,             -102.99, dBm,
            53537149,Hz,              -97.07, dBm,
            53542155,Hz,              -99.06, dBm,
            53547161,Hz,              -93.46, dBm,
            53552167,Hz,              -94.23, dBm,
            53557173,Hz,             -100.36, dBm,
            53562179,Hz,             -100.17, dBm,
            53567185,Hz,              -93.75, dBm,
            53572191,Hz,              -93.18, dBm,
            53577197,Hz,              -98.06, dBm,
            53582203,Hz,             -100.10, dBm,
            53587209,Hz,              -95.71, dBm,
            53592215,Hz,             -100.14, dBm,
            53597221,Hz,              -97.58, dBm,
            53602227,Hz,              -98.79, dBm,
            53607233,Hz,              -99.41, dBm,
            53612239,Hz,              -93.11, dBm,
            53617245,Hz,              -97.86, dBm,
            53622251,Hz,              -95.36, dBm,
            53627257,Hz,              -99.29, dBm,
            53632263,Hz,              -99.71, dBm,
            53637269,Hz,              -97.83, dBm,
            53642275,Hz,             -100.57, dBm,
            53647281,Hz,              -90.06, dBm,
            53652287,Hz,              -99.63, dBm,
            53657293,Hz,              -96.72, dBm,
            53662299,Hz,              -99.72, dBm,
            53667305,Hz,              -93.96, dBm,
            53672311,Hz,              -97.03, dBm,
            53677317,Hz,              -96.48, dBm,
            53682323,Hz,              -96.10, dBm,
            53687329,Hz,              -96.34, dBm,
            53692335,Hz,              -99.97, dBm,
            53697341,Hz,              -98.26, dBm,
            53702347,Hz,              -99.19, dBm,
            53707353,Hz,              -98.84, dBm,
            53712359,Hz,              -97.90, dBm,
            53717365,Hz,              -99.90, dBm,
            53722371,Hz,             -103.00, dBm,
            53727377,Hz,              -98.47, dBm,
            53732383,Hz,             -102.31, dBm,
            53737389,Hz,             -103.06, dBm,
            53742395,Hz,              -97.82, dBm,
            53747401,Hz,              -96.10, dBm,
            53752407,Hz,              -95.61, dBm,
            53757413,Hz,              -97.56, dBm,
            53762419,Hz,             -100.64, dBm,
            53767425,Hz,             -101.20, dBm,
            53772431,Hz,              -94.33, dBm,
            53777437,Hz,              -98.92, dBm,
            53782443,Hz,             -102.13, dBm,
            53787449,Hz,             -100.36, dBm,
            53792455,Hz,             -100.87, dBm,
            53797461,Hz,              -99.66, dBm,
            53802467,Hz,              -96.99, dBm,
            53807473,Hz,              -99.19, dBm,
            53812479,Hz,             -100.85, dBm,
            53817485,Hz,              -98.95, dBm,
            53822491,Hz,              -99.38, dBm,
            53827497,Hz,              -98.69, dBm,
            53832503,Hz,              -96.25, dBm,
            53837509,Hz,              -99.24, dBm,
            53842515,Hz,              -98.46, dBm,
            53847521,Hz,             -100.07, dBm,
            53852527,Hz,              -96.95, dBm,
            53857533,Hz,              -97.05, dBm,
            53862539,Hz,              -99.25, dBm,
            53867545,Hz,              -98.02, dBm,
            53872551,Hz,              -98.03, dBm,
            53877557,Hz,             -101.16, dBm,
            53882563,Hz,              -95.55, dBm,
            53887569,Hz,              -96.32, dBm,
            53892575,Hz,             -102.31, dBm,
            53897581,Hz,             -104.33, dBm,
            53902587,Hz,             -103.42, dBm,
            53907593,Hz,              -98.74, dBm,
            53912599,Hz,             -103.89, dBm,
            53917605,Hz,              -93.61, dBm,
            53922611,Hz,             -100.91, dBm,
            53927617,Hz,              -98.12, dBm,
            53932623,Hz,              -99.67, dBm,
            53937629,Hz,             -103.01, dBm,
            53942635,Hz,              -98.38, dBm,
            53947641,Hz,             -100.29, dBm,
            53952647,Hz,              -98.71, dBm,
            53957653,Hz,              -97.66, dBm,
            53962659,Hz,              -99.20, dBm,
            53967665,Hz,             -100.76, dBm,
            53972671,Hz,              -98.39, dBm,
            53977677,Hz,              -95.51, dBm,
            53982683,Hz,              -98.45, dBm,
            53987689,Hz,             -100.26, dBm,
            53992695,Hz,             -101.19, dBm,
            53997701,Hz,              -99.89, dBm,
            54002707,Hz,              -99.97, dBm,
            54007713,Hz,             -100.72, dBm,
            54012719,Hz,             -100.01, dBm,
            54017725,Hz,              -97.14, dBm,
            54022731,Hz,              -95.95, dBm,
            54027737,Hz,              -97.64, dBm,
            54032743,Hz,              -99.46, dBm,
            54037749,Hz,              -98.62, dBm,
            54042755,Hz,              -98.61, dBm,
            54047761,Hz,             -101.14, dBm,
            54052767,Hz,              -99.64, dBm,
            54057773,Hz,              -97.94, dBm,
            54062779,Hz,              -96.23, dBm,
            54067785,Hz,              -96.53, dBm,
            54072791,Hz,              -98.43, dBm,
            54077797,Hz,              -99.78, dBm,
            54082803,Hz,              -99.45, dBm,
            54087809,Hz,             -100.07, dBm,
            54092815,Hz,             -102.79, dBm,
            54097821,Hz,             -100.33, dBm,
            54102827,Hz,              -93.28, dBm,
            54107833,Hz,             -100.63, dBm,
            54112839,Hz,              -97.37, dBm,
            54117845,Hz,             -102.24, dBm,
            54122851,Hz,              -96.16, dBm,
            54127857,Hz,             -102.14, dBm,
            54132863,Hz,             -102.20, dBm,
            54137869,Hz,              -96.75, dBm,
            54142875,Hz,              -95.98, dBm,
            54147881,Hz,             -103.34, dBm,
            54152887,Hz,              -98.27, dBm,
            54157893,Hz,              -99.27, dBm,
            54162899,Hz,              -98.07, dBm,
            54167905,Hz,             -101.97, dBm,
            54172911,Hz,              -95.39, dBm,
            54177917,Hz,              -98.18, dBm,
            54182923,Hz,              -97.78, dBm,
            54187929,Hz,              -95.40, dBm,
            54192935,Hz,              -97.58, dBm,
