Trace1,,,,
Freq,,Amp,,
            53447041,Hz,              -97.24, dBm,
            53452047,Hz,              -92.84, dBm,
            53457053,Hz,              -89.15, dBm,
            53462059,Hz,              -91.98, dBm,
            53467065,Hz,              -90.09, dBm,
            53472071,Hz,              -94.32, dBm,
            53477077,Hz,              -91.43, dBm,
            53482083,Hz,              -97.19, dBm,
            53487089,Hz,              -94.68, dBm,
            53492095,Hz,              -88.78, dBm,
            53497101,Hz,              -95.72, dBm,
            53502107,Hz,              -90.98, dBm,
            53507113,Hz,              -91.46, dBm,
            53512119,Hz,             -100.39, dBm,
            53517125,Hz,              -94.18, dBm,
            53522131,Hz,              -97.27, dBm,
            53527137,Hz,              -95.40, dBm,
            53532143,Hz,              -93.82, dBm,
            53537149,Hz,              -99.02, dBm,
            53542155,Hz,              -88.82, dBm,
            53547161,Hz,              -97.17, dBm,
            53552167,Hz,              -96.16, dBm,
            53557173,Hz,              -94.26, dBm,
            53562179,Hz,              -92.41, dBm,
            53567185,Hz,             -100.52, dBm,
            53572191,Hz,              -93.61, dBm,
            53577197,Hz,              -95.82, dBm,
            53582203,Hz,              -91.38, dBm,
            53587209,Hz,              -94.51, dBm,
            53592215,Hz,              -91.28, dBm,
            53597221,Hz,             -100.15, dBm,
            53602227,Hz,              -96.09, dBm,
            53607233,Hz,              -93.88, dBm,
            53612239,Hz,              -96.50, dBm,
            53617245,Hz,              -91.37, dBm,
            53622251,Hz,              -98.54, dBm,
            53627257,Hz,              -89.92, dBm,
            53632263,Hz,              -95.42, dBm,
            53637269,Hz,              -99.00, dBm,
            53642275,Hz,              -93.93, dBm,
            53647281,Hz,              -95.72, dBm,
            53652287,Hz,              -94.26, dBm,
            53657293,Hz,              -95.19, dBm,
            53662299,Hz,              -94.75, dBm,
            53667305,Hz,              -92.99, dBm,
            53672311,Hz,              -93.21, dBm,
            53677317,Hz,              -97.86, dBm,
            53682323,Hz,              -94.42, dBm,
            53687329,Hz,              -94.99, dBm,
            53692335,Hz,              -98.90, dBm,
            53697341,Hz,              -88.33, dBm,
            53702347,Hz,              -96.37, dBm,
            53707353,Hz,             -100.39, dBm,
            53712359,Hz,              -97.61, dBm,
            53717365,Hz,             -101.34, dBm,
            53722371,Hz,              -95.42, dBm,
            53727377,Hz,              -94.33, dBm,
            53732383,Hz,              -99.21, dBm,
            53737389,Hz,              -88.61, dBm,
            53742395,Hz,             -101.09, dBm,
            53747401,Hz,             -100.26, dBm,
            53752407,Hz,             -103.94, dBm,
            53757413,Hz,              -98.23, dBm,
            53762419,Hz,              -98.67, dBm,
            53767425,Hz,              -95.80, dBm,
            53772431,Hz,             -101.36, dBm,
            53777437,Hz,              -96.31, dBm,
            53782443,Hz,              -95.90, dBm,
            53787449,Hz,              -94.82, dBm,
            53792455,Hz,              -97.70, dBm,
            53797461,Hz,             -102.20, dBm,
            53802467,Hz,              -98.21, dBm,
            53807473,Hz,              -96.15, dBm,
            53812479,Hz,             -102.84, dBm,
            53817485,Hz,              -93.77, dBm,
            53822491,Hz,             -100.18, dBm,
            53827497,Hz,              -93.48, dBm,
            53832503,Hz,              -99.25, dBm,
            53837509,Hz,              -96.40, dBm,
            53842515,Hz,              -96.38, dBm,
            53847521,Hz,             -100.50, dBm,
            53852527,Hz,             -101.43, dBm,
            53857533,Hz,             -100.63, dBm,
            53862539,Hz,              -99.43, dBm,
            53867545,Hz,              -95.38, dBm,
            53872551,Hz,              -98.46, dBm,
            53877557,Hz,              -96.94, dBm,
            53882563,Hz,             -100.81, dBm,
            53887569,Hz,              -97.60, dBm,
            53892575,Hz,              -98.66, dBm,
            53897581,Hz,              -96.44, dBm,
            53902587,Hz,              -96.06, dBm,
            53907593,Hz,              -96.88, dBm,
            53912599,Hz,              -94.98, dBm,
            53917605,Hz,              -98.73, dBm,
            53922611,Hz,              -97.50, dBm,
            53927617,Hz,             -105.11, dBm,
            53932623,Hz,              -98.32, dBm,
            53937629,Hz,              -99.25, dBm,
            53942635,Hz,              -99.46, dBm,
            53947641,Hz,              -97.98, dBm,
            53952647,Hz,              -99.36, dBm,
            53957653,Hz,              -95.83, dBm,
            53962659,Hz,              -95.92, dBm,
            53967665,Hz,             -101.33, dBm,
            53972671,Hz,             -100.03, dBm,
            53977677,Hz,              -96.02, dBm,
            53982683,Hz,              -98.54, dBm,
            53987689,Hz,              -99.24, dBm,
            53992695,Hz,             -103.41, dBm,
            53997701,Hz,              -98.64, dBm,
            54002707,Hz,             -100.59, dBm,
            54007713,Hz,              -97.20, dBm,
            54012719,Hz,              -98.16, dBm,
            54017725,Hz,              -99.51, dBm,
            54022731,Hz,             -102.59, dBm,
            54027737,Hz,              -98.11, dBm,
            54032743,Hz,              -98.16, dBm,
            54037749,Hz,              -96.32, dBm,
            54042755,Hz,              -96.67, dBm,
            54047761,Hz,             -103.11, dBm,
            54052767,Hz,             -100.96, dBm,
            54057773,Hz,             -102.74, dBm,
            54062779,Hz,              -92.22, dBm,
            54067785,Hz,              -98.26, dBm,
            54072791,Hz,              -99.10, dBm,
            54077797,Hz,             -101.27, dBm,
            54082803,Hz,              -98.64, dBm,
            54087809,Hz,              -99.85, dBm,
            54092815,Hz,             -103.01, dBm,
            54097821,Hz,             -102.56, dBm,
            54102827,Hz,              -99.66, dBm,
            54107833,Hz,              -97.46, dBm,
            54112839,Hz,             -100.22, dBm,
            54117845,Hz,              -98.15, dBm,
            54122851,Hz,             -105.12, dBm,
            54127857,Hz,              -98.34, dBm,
            54132863,Hz,              -99.16, dBm,
            54137869,Hz,              -98.57, dBm,
            54142875,Hz,              -99.65, dBm,
            54147881,Hz,             -100.86, dBm,
            54152887,Hz,              -99.64, dBm,
            54157893,Hz,             -100.31, dBm,
            54162899,Hz,             -101.20, dBm,
            54167905,Hz,              -98.25, dBm,
            54172911,Hz,              -98.85, dBm,
            54177917,Hz,             -101.87, dBm,
            54182923,Hz,              -99.12, dBm,
            54187929,Hz,              -98.89, dBm,
            54192935,Hz,             -101.05, dBm,
            54197941,Hz,             -100.39, dBm,
            54202947,Hz,              -97.16, dBm,
            54207953,Hz,              -98.55, dBm,
            54212959,Hz,              -96.72, dBm,
            54217965,Hz,             -101.59, dBm,
            54222971,Hz,              -99.74, dBm,
            54227977,Hz,              -98.22, dBm,
            54232983,Hz,              -99.15, dBm,
            54237989,Hz,              -97.52, dBm,
            54242995,Hz,             -102.45, dBm,
            54248001,Hz,              -98.93, dBm,
            54253007,Hz,             -101.89, dBm,
            54258013,Hz,             -103.72, dBm,
            54263019,Hz,              -99.42, dBm,
            54268025,Hz,             -101.15, dBm,
            54273031,Hz,             -100.44, dBm,
            54278037,Hz,             -100.26, dBm,
            54283043,Hz,             -100.47, dBm,
            54288049,Hz,             -103.96, dBm,
            54293055,Hz,             -102.29, dBm,
            54298061,Hz,              -98.70, dBm,
            54303067,Hz,              -96.77, dBm,
            54308073,Hz,             -100.01, dBm,
            54313079,Hz,             -101.70, dBm,
            54318085,Hz,              -98.66, dBm,
            54323091,Hz,              -97.60, dBm,
            54328097,Hz,              -98.26, dBm,
            54333103,Hz,             -101.23, dBm,
            54338109,Hz,              -98.28, dBm,
            54343115,Hz,              -98.43, dBm,
            54348121,Hz,              -99.73, dBm,
            54353127,Hz,             -100.09, dBm,
            54358133,Hz,              -98.27, dBm,
            54363139,Hz,             -101.56, dBm,
            54368145,Hz,              -96.75, dBm,
            54373151,Hz,             -102.32, dBm,
            54378157,Hz,             -103.06, dBm,
            54383163,Hz,             -101.32, dBm,
            54388169,Hz,              -98.73, dBm,
            54393175,Hz,              -95.58, dBm,
            54398181,Hz,             -101.35, dBm,
            54403187,Hz,              -97.92, dBm,
            54408193,Hz,             -101.04, dBm,
            54413199,Hz,              -98.38, dBm,
            54418205,Hz,             -100.89, dBm,
            54423211,Hz,             -102.48, dBm,
            54428217,Hz,             -100.86, dBm,
            54433223,Hz,              -99.32, dBm,
            54438229,Hz,              -96.25, dBm,
            54443235,Hz,              -98.44, dBm,
            54448241,Hz,             -103.46, dBm,
            54453247,Hz,              -98.81, dBm,
            54458253,Hz,              -97.36, dBm,
            54463259,Hz,              -99.10, dBm,
            54468265,Hz,              -99.62, dBm,
            54473271,Hz,              -97.87, dBm,
            54478277,Hz,              -99.54, dBm,
            54483283,Hz,             -100.42, dBm,
            54488289,Hz,             -102.63, dBm,
            54493295,Hz,              -99.92, dBm,
            54498301,Hz,              -96.61, dBm,
            54503307,Hz,              -97.73, dBm,
            54508313,Hz,              -97.39, dBm,
            54513319,Hz,              -97.60, dBm,
            54518325,Hz,             -100.72, dBm,
            54523331,Hz,             -101.59, dBm,
            54528337,Hz,              -99.87, dBm,
            54533343,Hz,              -98.83, dBm,
            54538349,Hz,             -102.83, dBm,
            54543355,Hz,             -101.45, dBm,
            54548361,Hz,              -99.92, dBm,
            54553367,Hz,              -98.97, dBm,
            54558373,Hz,             -101.56, dBm,
            54563379,Hz,             -100.82, dBm,
            54568385,Hz,             -101.17, dBm,
            54573391,Hz,              -99.76, dBm,
            54578397,Hz,              -99.82, dBm,
            54583403,Hz,              -96.54, dBm,
            54588409,Hz,              -99.96, dBm,
            54593415,Hz,              -99.29, dBm,
            54598421,Hz,             -100.10, dBm,
            54603427,Hz,              -99.48, dBm,
            54608433,Hz,             -104.53, dBm,
            54613439,Hz,             -101.27, dBm,
            54618445,Hz,              -98.55, dBm,
            54623451,Hz,              -98.60, dBm,
            54628457,Hz,             -100.98, dBm,
            54633463,Hz,             -102.52, dBm,
            54638469,Hz,             -102.39, dBm,
            54643475,Hz,             -100.22, dBm,
            54648481,Hz,              -99.75, dBm,
            54653487,Hz,              -97.98, dBm,
            54658493,Hz,              -95.44, dBm,
            54663499,Hz,             -101.86, dBm,
            54668505,Hz,              -98.43, dBm,
