Trace1,,,,
Freq,,Amp,,
           103241580,Hz,              -92.18, dBm,
           103254186,Hz,              -92.10, dBm,
           103266792,Hz,              -92.00, dBm,
           103279398,Hz,              -91.91, dBm,
           103292004,Hz,              -92.10, dBm,
           103304610,Hz,              -91.98, dBm,
           103317216,Hz,              -92.18, dBm,
           103329822,Hz,              -91.67, dBm,
           103342428,Hz,              -91.59, dBm,
           103355034,Hz,              -91.73, dBm,
           103367640,Hz,              -91.26, dBm,
           103380246,Hz,              -91.10, dBm,
           103392852,Hz,              -91.17, dBm,
           103405458,Hz,              -91.58, dBm,
           103418064,Hz,              -91.54, dBm,
           103430670,Hz,              -90.35, dBm,
           103443276,Hz,              -91.45, dBm,
           103455882,Hz,              -91.48, dBm,
           103468488,Hz,              -90.42, dBm,
           103481094,Hz,              -90.15, dBm,
           103493700,Hz,              -90.33, dBm,
           103506306,Hz,              -91.10, dBm,
           103518912,Hz,              -91.33, dBm,
           103531518,Hz,              -90.65, dBm,
           103544124,Hz,              -90.89, dBm,
           103556730,Hz,              -90.85, dBm,
           103569336,Hz,              -91.02, dBm,
           103581942,Hz,              -90.01, dBm,
           103594548,Hz,              -90.13, dBm,
           103607154,Hz,              -90.03, dBm,
           103619760,Hz,              -90.62, dBm,
           103632366,Hz,              -91.52, dBm,
           103644972,Hz,              -89.40, dBm,
           103657578,Hz,              -89.87, dBm,
           103670184,Hz,              -89.35, dBm,
           103682790,Hz,              -89.15, dBm,
           103695396,Hz,              -90.04, dBm,
           103708002,Hz,              -89.67, dBm,
           103720608,Hz,              -89.53, dBm,
           103733214,Hz,              -90.02, dBm,
           103745820,Hz,              -89.96, dBm,
           103758426,Hz,              -90.25, dBm,
           103771032,Hz,              -90.11, dBm,
           103783638,Hz,              -89.50, dBm,
           103796244,Hz,              -88.40, dBm,
           103808850,Hz,              -89.26, dBm,
           103821456,Hz,              -89.46, dBm,
           103834062,Hz,              -89.13, dBm,
           103846668,Hz,              -87.80, dBm,
           103859274,Hz,              -87.57, dBm,
           103871880,Hz,              -87.34, dBm,
           103884486,Hz,              -87.49, dBm,
           103897092,Hz,              -87.58, dBm,
           103909698,Hz,              -86.75, dBm,
           103922304,Hz,              -87.33, dBm,
           103934910,Hz,              -85.39, dBm,
           103947516,Hz,              -85.50, dBm,
           103960122,Hz,              -79.53, dBm,
           103972728,Hz,              -81.25, dBm,
           103985334,Hz,              -83.48, dBm,
           103997940,Hz,              -72.99, dBm,
           104010546,Hz,              -79.32, dBm,
           104023152,Hz,              -82.12, dBm,
           104035758,Hz,              -81.78, dBm,
           104048364,Hz,              -78.19, dBm,
           104060970,Hz,              -85.85, dBm,
           104073576,Hz,              -84.95, dBm,
           104086182,Hz,              -87.05, dBm,
           104098788,Hz,              -86.38, dBm,
           104111394,Hz,              -87.04, dBm,
           104124000,Hz,              -87.88, dBm,
           104136606,Hz,              -87.22, dBm,
           104149212,Hz,              -87.52, dBm,
           104161818,Hz,              -86.97, dBm,
